taxonomy_tree|product_category
Maistas -> Skanėstai -> Batonėliai|Batonėliai
Saldumynai -> Sausainiai|Sausainiai
Saldumynai -> Saldainiai, šokoladas|Saldumynai
Miltai|Miltai
Maistas -> Dribsniai, košės, sausi pusryčiai -> Sausi pusryčiai|Sausi pusryčiai
Maistas -> Produktai be gliuteno -> Sausainiai, saldainiai ir pyragai|Saldumynai
Makaronai|Makaronai
Maistas -> Makaronai|Makaronai
Saldumynai ir užkandžiai -> Traškučiai, trapučiai ir kiti užkandžiai -> Trapučiai ir paplotėliai|Trapučiai
Maistas -> Produktai be gliuteno -> Duona|Duonos produktai
Maistas -> Skanėstai -> Sausainiai|Sausainiai
Saldumynai -> Guminukai, ledinukai ir kita|Saldumynai
Priedai maisto gamybai -> Priedai kepiniams|Maisto gamybai
Maisto produktai -> Skanėstai|Saldumynai
Saldumynai -> Želė, kisieliai, pudingai|Saldumynai
Bakalėja -> Užkandžiai -> Kiti užkandžiai|Užkandžiai
Maistas -> Dribsniai, košės, sausi pusryčiai -> Dribsniai ir košės|Dribsniai
Kruopos|Kruopos
Saldumynai -> Batonėliai|Batonėliai
Šaldyti produktai -> Ledai|Ledai
Užkandžiai, pusryčiai -> Dribsniai|Dribsniai
Maistas -> Miltai -> Miltai be glitimo|Miltai
Bakalėja -> Užkandžiai -> Bulvių traškučiai|Bulvių traškučiai
Duonos gaminiai ir konditerija -> Duona -> Duona be glitimo|Duonos produktai
Maistas -> Džiovintos daržovės ir vaisiai -> Vaisiai ir uogos|Džiovinti produktai
Bakalėja -> Makaronai -> Džiovinti|Makaronai
Užkandžiai, pusryčiai -> Kiti užkandžiai|Užkandžiai
Maistas -> Produktai be gliuteno -> Dribsniai ir užkandžiai|Dribsniai
Priedai maisto gamybai -> Kita|Maisto gamybai
Maistas -> Ruošiniai -> Kepiniams|Ruošiniai
Užkandžiai, pusryčiai -> Batonėliai|Batonėliai
Bakalėja -> Saldumynai -> Sausainiai ir biskvitiniai pyragaičiai|Sausainiai
Maistas -> Duona, bandelės, trapučiai -> Trapučiai ir duoniukai|Trapučiai
Šaldyti produktai -> Šaldyti pusgaminiai -> Kiti šaldyti pusgaminiai|Šaldyti pusgaminiai
Sėklos, riešutai, džiovinti vaisiai|Džiovinti produktai
Bakalėja -> Makaronai -> Trumpieji ir smulkieji makaronai|Makaronai
Maistas -> Duona, bandelės, trapučiai -> Duona ir bandelės|Duonos produktai
Duona, bandelės -> Duona|Duonos produktai
Bakalėja -> Sausi pusryčiai ir granola|Sausi pusryčiai
Maistas -> Produktai be gliuteno -> Miltų mišiniai|Miltai
Maisto produktai -> Duona, bandelės, trapučiai -> Duona|Duonos produktai
Maistas -> Užkandžiai -> Krekeriai ir trapučiai|Trapučiai
Saldumynai ir užkandžiai -> Traškučiai, trapučiai ir kiti užkandžiai -> Kiti užkandžiai|Užkandžiai
Maistas -> Ruošiniai -> Kiti ruošiniai|Ruošiniai
Bakalėja -> Specialusis maistas -> Maistas sportui|Batonėliai
Maistas -> Kruopos, ankštiniai produktai -> Kruopos ir grūdai|Kruopos
Bakalėja -> Košės|Sausi pusryčiai
Bakalėja -> Riešutai|Džiovinti produktai
Užkandžiai, pusryčiai -> Kuskusas|Užkandžiai
Duona ir kepiniai -> Panettonės ir kolombos|Kepiniai
Priedai maisto gamybai -> Saldikliai, cukrus|Maisto gamybai
Bakalėja -> Užkandžiai -> Kiti traškučiai|Užkandžiai
Bakalėja -> Miltai ir miltų mišiniai -> Kiti miltai|Miltai
Duona, bandelės -> Bandelės|Kepiniai
Maisto produktai -> Makaronai|Makaronai
Bakalėja -> Padažai -> Azijos|Padažai
Priedai maisto gamybai -> Trupiniai|Maisto gamybai
Bakalėja -> Miltai ir jų mišiniai|Miltai
Bakalėja -> Užkandžiai -> Trapučiai|Trapučiai
Maistas -> Produktai be gliuteno -> Makaronai|Makaronai
Bakalėja -> Užkandžiai -> Krekeriai ir sūrios lazdelės|Užkandžiai
Saldumynai ir užkandžiai -> Traškučiai, trapučiai ir kiti užkandžiai -> Vaisių ir daržovių traškučiai|Užkandžiai
